,Unnamed: 0,ID,age,gender,marital_status,highest_education,land_ownership,title_deed,own_phone,salaries_wages,selling_produce,selling_services,piece_job,rental_income,interest_earned,pension,social_grant,pocket_money,someone_pays,other,employer_for_employed,what_you_sell,service_you_provide,sent_money_in_12_months,when_last_send_money,recieved_money_in_12_months,when_last_recieve_money,how_often_purchase_mobilemoney,how_often_pay_bills_with_mm,literacy_Kiswhahili,literacy_english,Latitude,Longitude,mobile_money,savings,borrowing,insurance,mobile_money_classification,income,my_class,age_group
0,0,5086,98,female,widowed,No formal education,1,not_land_owner,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,4,4,-4.46044192,29.8113964,0,0,0,0,0,1,no_mm,senior
1,1,1258,40,male,married,Primary completed,5,land_owner,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,4,1,5,Monthly,4,1,4,-6.17643812,39.24487062,1,1,1,0,3,1,mm_plus,middle age
2,2,331,18,female,single,University or other higher education,3,not_land_owner,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,1,1,-6.82570215,37.65279782,1,0,0,0,2,1,mm_only,teenager
3,3,6729,50,male,married,Primary completed,1,land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,2,2,-1,Monthly,-1,1,4,-3.37204916,35.8083073,1,0,1,0,3,1,mm_plus,middle age
4,4,8671,34,male,married,No formal education,1,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,1,Never,-1,1,4,-7.17964514,31.03909501,1,1,0,1,3,1,mm_plus,young adult
5,5,5462,35,male,married,Primary completed,3,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,Never,-1,1,1,-6.36233065,37.13774142,0,0,1,0,1,2,no_mm,young adult
6,6,4886,31,female,married,Primary completed,1,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,5,1,3,Never,-1,1,2,-8.08925722,35.83641476,1,1,1,1,3,1,mm_plus,young adult
7,7,621,23,female,single,Some secondary,5,not_land_owner,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,1,1,4,1,4,Less than monthly,1,2,2,-8.91602782,33.43390406,1,1,0,0,3,1,mm_plus,youth
8,8,8302,56,female,widowed,Primary completed,3,not_land_owner,2,0,1,0,1,0,1,0,0,0,0,0,-1,1,-1,1,5,1,6,Less than monthly,-1,1,1,-3.97224706,32.64995093,0,1,1,0,1,3,no_mm,middle age
9,9,4704,37,female,married,Primary completed,3,not_land_owner,1,0,1,0,0,0,0,0,1,1,0,0,-1,1,-1,1,3,1,4,Less than monthly,-1,1,4,-8.03397315,35.76941599,1,0,0,1,3,3,mm_plus,middle age
10,10,2758,18,female,single,Some secondary,5,not_land_owner,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,6,1,6,Never,-1,1,1,-3.61949115,33.81397392,1,1,1,0,3,1,mm_plus,teenager
11,11,2536,29,female,married,University or other higher education,1,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,4,1,5,Never,1,1,4,-8.8474963,34.82358667,1,0,0,0,2,1,mm_only,young adult
12,12,8863,28,male,married,Primary completed,3,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,4,-10.74350336,34.73308437,0,1,1,0,1,2,no_mm,young adult
13,13,5469,17,female,married,Some primary,5,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,4,-8.29591748,31.50903394,0,0,0,0,0,2,no_mm,teenager
14,14,3543,22,female,single,University or other higher education,5,not_land_owner,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,4,1,3,Never,-1,1,1,-6.16905276,39.19848943,1,0,0,0,2,1,mm_only,youth
15,15,6554,53,female,married,Primary completed,1,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,4,-1.33874499,30.90011959,0,0,0,0,0,2,no_mm,middle age
16,16,7769,21,female,single,University or other higher education,3,not_land_owner,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,1,5,Never,-1,1,1,-10.48837106,39.02761703,1,0,0,0,2,1,mm_only,youth
17,17,4226,24,female,single,Primary completed,1,land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,7,-1,1,4,1,6,Never,-1,1,1,-3.18034209,36.86123796,1,1,1,0,3,1,mm_plus,youth
18,18,6997,38,male,single,Some primary,2,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-1.26182551,30.67859149,1,1,1,0,3,2,mm_plus,middle age
19,19,987,30,female,widowed,Primary completed,1,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,7,-1,2,-1,2,-1,Never,-1,1,1,-7.7826407999999985,35.66559916,1,1,0,0,3,1,mm_plus,young adult
20,20,5576,27,female,married,Primary completed,1,not_land_owner,2,0,1,0,0,0,0,0,0,1,0,0,-1,1,-1,2,-1,1,3,Less than monthly,-1,1,4,-4.61491779,29.78760859,1,1,0,0,3,2,mm_plus,young adult
21,21,2272,42,female,married,Primary completed,3,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,6,Never,-1,1,4,-2.59741921,32.91360135,1,0,1,0,3,1,mm_plus,middle age
22,22,8277,44,male,married,No formal education,3,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,5,Never,-1,4,4,-10.91885915,38.0026558,1,1,0,0,3,2,mm_plus,middle age
23,23,3007,76,female,married,No formal education,1,land_owner,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,4,4,-8.87183105,34.95540407,0,1,0,0,1,1,no_mm,senior
24,24,915,19,male,single,Primary completed,3,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,1,4,-5.07269918,38.45452481,1,0,1,0,3,1,mm_plus,youth
25,25,1335,29,female,married,Primary completed,5,not_land_owner,2,0,0,1,0,0,0,0,0,1,0,0,-1,-1,1,1,5,1,4,Never,-1,1,1,-7.77454325,35.69337587,1,1,1,0,3,2,mm_plus,young adult
26,26,1251,20,female,single,Primary completed,4,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,2,2,-1,Never,-1,1,3,-6.21997069,39.23239912,1,1,1,0,3,1,mm_plus,youth
27,27,5036,26,female,divorced,Primary completed,5,not_land_owner,1,1,0,0,0,0,0,0,0,0,0,0,3,-1,-1,1,4,1,5,Never,-1,1,1,-1.3240641000000002,31.79062686,1,1,1,0,3,1,mm_plus,young adult
28,28,599,44,female,divorced,Primary completed,5,not_land_owner,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,5,1,6,1,2,Less than monthly,-1,5,5,-3.35223512,37.34738616,1,1,1,1,3,1,mm_plus,middle age
29,29,794,32,female,single,Some primary,5,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,10,-1,1,2,1,1,Weekly,-1,5,5,-6.81906576,37.64553234,1,1,1,0,3,1,mm_plus,young adult
30,30,3158,53,female,divorced,No formal education,1,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,5,-1,1,3,2,-1,Monthly,-1,1,4,-4.29046851,35.85896743,1,0,0,0,2,2,mm_only,middle age
31,31,3959,46,male,married,Primary completed,1,land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,4,-2.76226635,33.61667942,1,1,0,0,3,1,mm_plus,middle age
32,32,1241,35,female,single,Primary completed,4,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,1,3,1,4,Never,4,1,1,-8.89881746,33.54752,1,0,1,0,3,1,mm_plus,young adult
33,33,4986,47,male,divorced,Primary completed,1,land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,2,-3.83143513,32.68175493,0,0,1,1,1,1,no_mm,middle age
34,34,4109,20,female,married,No formal education,3,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,1,2,2,-1,Never,-1,4,4,-8.56809005,32.12579976,1,0,0,0,2,2,mm_only,youth
35,35,8121,86,male,married,No formal education,3,land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-11.46744994,36.97928803,0,1,0,0,1,1,no_mm,senior
36,36,3895,18,male,single,Primary completed,5,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,5,1,-4.09021965,34.73737265,0,1,0,0,1,1,no_mm,teenager
37,37,8054,19,male,divorced,Some primary,3,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,2,2,-1,Never,-1,4,4,-10.5117961,38.99460256,1,1,1,0,3,1,mm_plus,youth
38,38,8023,31,female,married,Primary completed,5,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-5.03547203,36.23767486,0,0,1,0,1,2,no_mm,young adult
39,39,6933,30,male,married,Some primary,5,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,4,-1,2,-1,1,4,Never,-1,5,5,-2.40257714,32.32959157,1,0,1,0,3,1,mm_plus,young adult
40,40,7852,17,female,married,Primary completed,5,not_land_owner,2,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,2,-1,Never,-1,3,3,-3.8083338,32.2274935,0,0,1,1,1,1,no_mm,teenager
41,41,6063,30,female,married,No formal education,3,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-8.53949832,32.94378634,0,0,1,0,1,1,no_mm,young adult
42,42,755,37,female,married,University or other higher education,5,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,1,4,1,3,Weekly,-1,1,1,-4.8332572,34.76190104,1,1,1,0,3,2,mm_plus,middle age
43,43,6445,38,female,married,No formal education,2,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-5.71743656,38.23601851,1,0,0,0,2,1,mm_only,middle age
44,44,8548,35,male,single,Primary completed,4,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,1,4,-8.60398999,39.26018757,1,1,0,0,3,1,mm_plus,young adult
45,45,1549,20,female,divorced,Primary completed,3,not_land_owner,2,1,0,0,0,0,0,0,0,0,0,0,6,-1,-1,2,-1,2,-1,Less than monthly,-1,1,4,-2.54540703,32.95831634,1,0,0,0,2,1,mm_only,youth
